profile,layer,channel,tau
bio,1,1,1.4481914043426514
bio,1,2,4.427425861358643
bio,1,3,1.100000023841858
bio,1,4,1.1448084115982056
bio,1,5,1.931931495666504
bio,1,6,1.8364875316619873
bio,1,7,4.30031681060791
bio,1,8,1.1542108058929443
bio,1,9,2.222574234008789
bio,1,10,1.6421810388565063
bio,1,11,10.151753425598145
bio,1,12,1.674228310585022
bio,1,13,11.033804893493652
bio,1,14,11.558608055114746
bio,1,15,6.91269588470459
bio,1,16,1.7994012832641602
bio,1,17,1.3997350931167603
bio,1,18,8.381247520446777
bio,1,19,1.100000023841858
bio,1,20,1.528678059577942
bio,1,21,1.9838502407073975
bio,1,22,2.9550745487213135
bio,1,23,8.3014497756958
bio,1,24,4.366920471191406
bio,1,25,6.169592380523682
bio,1,26,9.629778861999512
bio,1,27,1.6396238803863525
bio,1,28,1.3294826745986938
bio,1,29,6.427055358886719
bio,1,30,4.842568874359131
bio,1,31,2.7547450065612793
bio,1,32,1.100000023841858
bio,2,1,5.165223598480225
bio,2,2,4.945722579956055
bio,2,3,5.875767707824707
bio,2,4,5.392227649688721
bio,2,5,4.5990118980407715
bio,2,6,4.706026077270508
bio,2,7,6.171306133270264
bio,2,8,2.571061849594116
bio,2,9,5.033113479614258
bio,2,10,5.744401454925537
bio,2,11,3.346719264984131
bio,2,12,4.986834526062012
bio,2,13,4.9933881759643555
bio,2,14,5.288923740386963
bio,2,15,4.5613322257995605
bio,2,16,4.939297199249268
bio,2,17,4.830838203430176
bio,2,18,2.6121559143066406
bio,2,19,1.100000023841858
bio,2,20,2.155500650405884
bio,2,21,5.179890155792236
bio,2,22,1.480175495147705
bio,2,23,2.654555082321167
bio,2,24,2.2437429428100586
bio,2,25,1.9167672395706177
bio,2,26,4.966544151306152
bio,2,27,5.203165054321289
bio,2,28,4.961057186126709
bio,2,29,4.605371475219727
bio,2,30,2.349555253982544
bio,2,31,4.166411399841309
bio,2,32,3.8800413608551025
bio,2,33,4.839049339294434
bio,2,34,4.7283935546875
bio,2,35,1.1093473434448242
bio,2,36,4.840043067932129
bio,2,37,1.192286729812622
bio,2,38,4.300775051116943
bio,2,39,4.953885555267334
bio,2,40,1.1017287969589233
bio,2,41,5.044417858123779
bio,2,42,4.877872943878174
bio,2,43,1.231595516204834
bio,2,44,5.798625946044922
bio,2,45,2.8765575885772705
bio,2,46,4.743734359741211
bio,2,47,4.988816738128662
bio,2,48,2.87308669090271
bio,2,49,4.296424388885498
bio,2,50,1.100000023841858
bio,2,51,4.963138103485107
bio,2,52,4.533388137817383
bio,2,53,4.9758219718933105
bio,2,54,4.600806713104248
bio,2,55,1.100000023841858
bio,2,56,5.859806537628174
bio,2,57,5.797964572906494
bio,2,58,4.535021781921387
bio,2,59,4.934915065765381
bio,2,60,4.5858378410339355
bio,2,61,3.933370351791382
bio,2,62,1.100000023841858
bio,2,63,6.447106838226318
bio,2,64,1.117870807647705
bio,3,1,4.900151252746582
bio,3,2,4.277054309844971
bio,3,3,2.673220157623291
bio,3,4,6.023287773132324
bio,3,5,4.520517826080322
bio,3,6,3.4027464389801025
bio,3,7,3.279033899307251
bio,3,8,4.399940013885498
bio,3,9,2.6200740337371826
bio,3,10,6.23842191696167
bio,3,11,3.7980659008026123
bio,3,12,3.488642454147339
bio,3,13,3.4290406703948975
bio,3,14,4.3256449699401855
bio,3,15,2.437894105911255
bio,3,16,3.120769739151001
bio,3,17,3.2537620067596436
bio,3,18,2.552586317062378
bio,3,19,4.362307071685791
bio,3,20,4.620335578918457
bio,3,21,8.232120513916016
bio,3,22,3.2325897216796875
bio,3,23,6.492836952209473
bio,3,24,3.841355562210083
bio,3,25,2.14088773727417
bio,3,26,3.5894649028778076
bio,3,27,2.826272487640381
bio,3,28,4.8292999267578125
bio,3,29,3.8831944465637207
bio,3,30,4.215497016906738
bio,3,31,3.949314832687378
bio,3,32,6.3909687995910645
bio,3,33,2.9768621921539307
bio,3,34,3.518810510635376
bio,3,35,3.4832992553710938
bio,3,36,3.1152589321136475
bio,3,37,2.999392509460449
bio,3,38,3.649787664413452
bio,3,39,6.003932952880859
bio,3,40,2.787540912628174
bio,3,41,3.8042144775390625
bio,3,42,3.004626989364624
bio,3,43,4.066185474395752
bio,3,44,3.8766400814056396
bio,3,45,4.354767322540283
bio,3,46,4.1290669441223145
bio,3,47,2.1272964477539062
bio,3,48,3.416361093521118
bio,3,49,2.8359193801879883
bio,3,50,4.948465347290039
bio,3,51,2.985360860824585
bio,3,52,3.4375686645507812
bio,3,53,4.038663864135742
bio,3,54,4.885144233703613
bio,3,55,2.9497036933898926
bio,3,56,3.8189189434051514
bio,3,57,3.1790685653686523
bio,3,58,3.387040615081787
bio,3,59,4.747289657592773
