profile,layer,scale,n_channels,tau_mean,tau_std_population,log_tau_std_population,min,q1,median,q3,max,clipped_channels,variance_floor_active
bio,1,0.8,32,4.007763385772705,3.2703208923339844,0.7904664874076843,1.100000023841858,1.5085563659667969,2.103212356567383,6.2339582443237305,11.558608055114746,3,False
bio,2,0.55,64,4.0001220703125,1.567555546760559,0.5496600270271301,1.100000023841858,2.6439552307128906,4.655698776245117,4.987329959869385,6.447106838226318,4,False
bio,3,0.35,128,3.999962329864502,1.4661099910736084,0.34998124837875366,1.2805291414260864,3.057166337966919,3.6830549240112305,4.531890392303467,8.729708671569824,0,False
bio,4,0.15,128,3.9999606609344482,0.623420000076294,0.14999254047870636,3.1400649547576904,3.4622669219970703,3.7555720806121826,4.483529090881348,5.577180862426758,0,False
equal,1,0.522,32,3.999965190887451,2.349425792694092,0.521975040435791,1.5819517374038696,2.2958850860595703,2.941061019897461,5.436529159545898,10.3414945602417,0,False
equal,2,0.522,64,4.00018310546875,1.4533357620239258,0.5215120315551758,1.100000023841858,3.2943248748779297,4.660495281219482,5.100369453430176,5.899429798126221,2,False
equal,3,0.522,128,3.9999654293060303,2.207716464996338,0.52197265625,1.1328508853912354,2.345048666000366,3.398982048034668,4.7422685623168945,9.945677757263184,0,False
equal,4,0.522,128,3.999964952468872,1.8685983419418335,0.5219756364822388,1.4387766122817993,2.0970897674560547,3.9215495586395264,5.936476230621338,7.191434383392334,0,False
reverse,1,0.15,32,3.999960422515869,0.6079565286636353,0.14999428391456604,3.093489408493042,3.521868944168091,3.9030628204345703,4.488224983215332,5.22900390625,0,False
reverse,2,0.35,64,3.999965190887451,1.0625505447387695,0.34996655583381653,1.100000023841858,3.2350831031799316,4.453700065612793,4.72807502746582,5.554818153381348,1,False
reverse,3,0.55,128,4.000007629394531,2.3309059143066406,0.5498916506767273,1.100000023841858,2.4330172538757324,3.3270668983459473,4.499122619628906,10.253181457519531,2,False
reverse,4,0.8,128,4.000721454620361,2.74993634223938,0.7991024255752563,1.100000023841858,1.2945611476898193,2.7730369567871094,6.870035648345947,9.101561546325684,11,False
fixed,1,0.0,32,3.999959945678711,0.0,0.0,3.999959945678711,3.999959945678711,3.999959945678711,3.999959945678711,3.999959945678711,0,True
fixed,2,0.0,64,3.999959945678711,0.0,0.0,3.999959945678711,3.999959945678711,3.999959945678711,3.999959945678711,3.999959945678711,0,True
fixed,3,0.0,128,3.999959945678711,0.0,0.0,3.999959945678711,3.999959945678711,3.999959945678711,3.999959945678711,3.999959945678711,0,True
fixed,4,0.0,128,3.999959945678711,0.0,0.0,3.999959945678711,3.999959945678711,3.999959945678711,3.999959945678711,3.999959945678711,0,True
