profile,split,peak_accuracy,peak_step_zero_based,checkpoint_accuracy
bio,test_id,0.9681000113487244,61,0.9681
bio,test_ood_speed,0.945900022983551,61,0.9459
bio,test_ood_noise,0.9570000171661377,61,0.957
bio,test_ood_flicker,0.9584000110626221,61,0.9584
bio,test_combined_ood,0.9397000074386597,61,0.9397
equal,test_id,0.9562000036239624,44,0.952
equal,test_ood_speed,0.9308000206947327,19,0.9287
equal,test_ood_noise,0.9413999915122986,46,0.9414
equal,test_ood_flicker,0.9476000070571899,44,0.9365
equal,test_combined_ood,0.9244999885559082,7,0.9184
reverse,test_id,0.944100022315979,57,0.9441
reverse,test_ood_speed,0.9135000109672546,12,0.9006
reverse,test_ood_noise,0.9381999969482422,57,0.9382
reverse,test_ood_flicker,0.9243000149726868,24,0.9124
reverse,test_combined_ood,0.9054999947547913,57,0.9055
fixed,test_id,0.8973000049591064,68,0.8973
fixed,test_ood_speed,0.7886000275611877,60,0.7782
fixed,test_ood_noise,0.8816999793052673,72,0.8787
fixed,test_ood_flicker,0.8413000106811523,68,0.8413
fixed,test_combined_ood,0.8241000175476074,60,0.802
